year	mon	day	hr	min	sec	deciday	distance(5Km_bin)	depth(m)	U_Vel(cm/s)	V_Vel(cm/s)	Latitude	Longitude(360deg)	Longitude	U_Tide(cm/s)	V_Tide(cm/s)	U_Vel-U_Tide(cm/s)	V_Vel-V_Tide(cm/s)	Vol_Transport_V_Raw(m^3/s)	Vol_Transport_V_Raw-V_Tide(m^3/s)
2012	11	22	10	36	1	327	215.0	-272.0	19.56	-17.44	54.57	306.64	-53.36	0.360	-3.590	19.200	-13.850	-6976.000	-5540.000
2012	11	22	10	36	1	327	215.0	-280.0	12.56	-12.64	54.57	306.64	-53.36	0.360	-3.590	12.200	-9.050	-5056.000	-3620.000
2012	11	22	10	36	1	327	215.0	-312.0	5.16	-21.84	54.57	306.64	-53.36	0.360	-3.590	4.800	-18.250	-8736.000	-7300.000
2012	11	22	10	36	1	327	215.0	-320.0	12.26	-19.34	54.57	306.64	-53.36	0.360	-3.590	11.900	-15.750	-7736.000	-6300.000
2012	11	22	10	36	1	327	215.0	-328.0	8.36	-12.24	54.57	306.64	-53.36	0.360	-3.590	8.000	-8.650	-4896.000	-3460.000
2012	11	22	10	36	1	327	215.0	-336.0	21.76	-21.64	54.57	306.64	-53.36	0.360	-3.590	21.400	-18.050	-8656.000	-7220.000
2012	11	22	10	36	1	327	215.0	-360.0	0.66	-14.74	54.57	306.64	-53.36	0.360	-3.590	0.300	-11.150	-5896.000	-4460.000
2012	11	22	10	36	1	327	215.0	-368.0	3.46	-16.74	54.57	306.64	-53.36	0.360	-3.590	3.100	-13.150	-6696.000	-5260.000
2012	11	22	12	11	1	327	225.0	-40.0	3.83	-13.80	54.63	306.75	-53.25	-2.620	-0.160	6.450	-13.640	-5520.000	-5456.000
2012	11	22	12	11	1	327	225.0	-48.0	2.04	-29.75	54.64	306.75	-53.25	-2.660	-0.130	4.700	-29.620	-11900.000	-11848.000
2012	11	22	12	11	1	327	225.0	-56.0	5.10	-23.61	54.63	306.75	-53.25	-2.620	-0.160	7.720	-23.450	-9444.000	-9380.000
2012	11	22	12	11	1	327	225.0	-64.0	3.29	-32.67	54.64	306.76	-53.24	-2.630	-0.110	5.920	-32.560	-13068.000	-13024.000
2012	11	22	12	11	1	327	225.0	-72.0	-1.06	-30.45	54.64	306.75	-53.25	-2.660	-0.130	1.600	-30.320	-12180.000	-12128.000
2012	11	22	12	11	1	327	225.0	-80.0	-2.33	-32.41	54.64	306.75	-53.25	-2.660	-0.130	0.330	-32.280	-12964.000	-12912.000
2012	11	22	12	11	1	327	225.0	-88.0	-1.26	-32.71	54.64	306.75	-53.25	-2.660	-0.130	1.400	-32.580	-13084.000	-13032.000
2012	11	22	12	11	1	327	225.0	-96.0	-7.46	-29.21	54.64	306.75	-53.25	-2.660	-0.130	-4.800	-29.080	-11684.000	-11632.000
2012	11	22	12	11	1	327	225.0	-104.0	2.27	-31.18	54.64	306.75	-53.25	-2.660	-0.130	4.930	-31.050	-12472.000	-12420.000
2012	11	22	12	11	1	327	225.0	-112.0	-2.38	-33.06	54.64	306.76	-53.24	-2.630	-0.110	0.250	-32.950	-13224.000	-13180.000
2012	11	22	12	11	1	327	225.0	-120.0	-3.16	-22.75	54.64	306.75	-53.25	-2.660	-0.130	-0.500	-22.620	-9100.000	-9048.000
2012	11	22	12	11	1	327	225.0	-128.0	-1.46	-17.75	54.64	306.75	-53.25	-2.660	-0.130	1.200	-17.620	-7100.000	-7048.000
2012	11	22	12	11	1	327	225.0	-136.0	-3.59	-21.58	54.64	306.75	-53.25	-2.660	-0.130	-0.930	-21.450	-8632.000	-8580.000
2012	11	22	12	11	1	327	225.0	-144.0	2.82	-16.65	54.64	306.76	-53.24	-2.630	-0.110	5.450	-16.540	-6660.000	-6616.000
2012	11	22	12	11	1	327	225.0	-152.0	-2.59	-22.45	54.64	306.75	-53.25	-2.660	-0.130	0.070	-22.320	-8980.000	-8928.000
2012	11	22	12	11	1	327	225.0	-160.0	0.11	-20.75	54.64	306.75	-53.25	-2.660	-0.130	2.770	-20.620	-8300.000	-8248.000
2012	11	22	12	11	1	327	225.0	-168.0	-0.89	-18.41	54.64	306.75	-53.25	-2.660	-0.130	1.770	-18.280	-7364.000	-7312.000
2012	11	22	12	11	1	327	225.0	-176.0	-0.35	-22.06	54.63	306.75	-53.25	-2.620	-0.160	2.270	-21.900	-8824.000	-8760.000
2012	11	22	12	11	1	327	225.0	-184.0	-0.11	-20.12	54.64	306.76	-53.24	-2.630	-0.110	2.520	-20.010	-8048.000	-8004.000
2012	11	22	12	11	1	327	225.0	-192.0	-6.76	-24.57	54.64	306.76	-53.24	-2.630	-0.110	-4.130	-24.460	-9828.000	-9784.000
2012	11	22	12	11	1	327	225.0	-200.0	-3.36	-18.38	54.64	306.75	-53.25	-2.660	-0.130	-0.700	-18.250	-7352.000	-7300.000
2012	11	22	12	11	1	327	225.0	-208.0	-4.87	-7.10	54.63	306.75	-53.25	-2.620	-0.160	-2.250	-6.940	-2840.000	-2776.000
